Text,Label
Hard work pays off in the end.,Not-Bullying
unwelcome touching;,Bullying 
staring or leering;,Bullying 
suggestive comments or jokes;,Bullying 
sexually explicit pictures or posters;,Bullying 
unwanted invitations to go out on dates;,Bullying 
requests for sex;,Bullying 
intrusive questions about a person's private life or body;,Bullying 
"unnecessary familiarity, such as deliberately brushing up against a person;",Bullying 
insults or taunts based on sex;,Bullying 
sexually explicit physical contact; and,Bullying 
sexually explicit emails or SMS text messages.,Bullying 
What a dogy girl,Bullying
Yo yo boys ,Bullying 
Police can arrest the person who committed the crime.,Bullying 
This person can be charged with a crime and face trial.,Bullying 
If they are found guilty or plead guilty then they will receive a punishment. This might include a prison sentence.,Bullying 
Killed girls ,Bullying 
I truly love your channel. Keep doing the best work.,Not-Bullying
Such creative videos you’ve on this channel. Just subscribed!,Not-Bullying
Officially the first viewer of any video on this channel.,Not-Bullying
I’ve never witnessed such awesome editing as this one.,Not-Bullying
"Following your channel from the last two years, interesting content!",Not-Bullying
"You’re working so hard, may all your wishes come true.",Not-Bullying
"Congratulations on your first 10K followers, may you reach 100K soon.",Not-Bullying
"Whoever is reading this, never give up. God is with you.",Not-Bullying
"When watching your videos, I accidentally hit ‘like’ and never knew when.",Not-Bullying
The moment you came here is at 05:17.,Not-Bullying
"Love this video, I think I’ve watched it four times.",Not-Bullying
Send me noods,Bullying 
Not fair elections ,Bullying 
I am a robot,Bullying 
You are a gay,Bullying
Lessbian ,Bullying 
Bangladesh poor country ,Bullying 
"A kind heart is a beautiful soul.""",Not-Bullying
Appreciate the beauty of diversity.,Not-Bullying
Change starts with self-awareness.,Not-Bullying
"In every ending, there's a new beginning.",Not-Bullying
Celebrate the beauty of the present moment.,Not-Bullying
The beauty of a fresh start.,Not-Bullying
Every day is a chance to be better.,Not-Bullying
"In unity, we find strength.",Not-Bullying
Kindness has the power to heal.,Not-Bullying
Embrace the beauty of change.,Not-Bullying
What a girl sexy,Bullying 
kill him,Bullying 
fuckig,Bullying 
lol boys lol,Bullying 
You are rappist,Bullying 
cannot see ur face,Bullying 
u liar,Bullying 
what a fool boy,Bullying 
look like e hero,Bullying 
I’ve woken up feeling really horny,Bullying 
I want to be inside you,Bullying 
"Success is built on persistence.""",Not-Bulllying
Love and compassion make the world brighter.,Not-Bulllying
Life is an adventure waiting to be explored.,Not-Bulllying
Cherish the memories that warm your heart.,Not-Bulllying
Each day is a blank canvas; paint it with joy.,Not-Bulllying
Inspiration is all around us if we look closely.,Not-Bulllying
"Feel free to use these comments in your tweets, and adapt them as needed to match your style or the context of your posts.",Not-Bulllying
I want you to kiss every inch of my body.”,Bullying
“Tease me until I am begging for it.”,Bullying
“Do you know how much I want you?”,Bullying
“I love it when you touch me like that.”,Bullying
“Your tongue feels so good.”,Bullying
“I can’t wait to feel you inside me.”,Bullying
“Do you know how much I want you?”,Bullying
“I am crazy for you.”,Bullying
“I need to be inside of you.”,Bullying
“I want to make you scream.”,Bullying
“Lay back. I want to show you X.”,Bullying
“More.”,Bullying
“I’m so hard for you right now.”,Bullying
“You smell amazing”,Bullying
“I can’t wait to tear off your clothes.”,Bullying
“Don’t stop.”,Bullying
“I can’t stop thinking about the other night.”,Bullying
What a girl sexy,Bullying 
kill him,Bullying 
fuckig,Bullying 
"The joy of giving back.""",Not-Bullying
Thoughts become things.,Not-Bullying
"Success is a journey, not a destination.",Not-Bullying
Embrace the adventure of life.,Not-Bullying
Patience is a virtue.,Not-Bullying
Radiate positivity and kindness.,Not-Bullying
Inspiration can come from unexpected places.,Not-Bullying
Life's little moments are the most precious.,Not-Bullying
"Focus on the journey, not the destination.",Not-Bullying
Small steps lead to big changes.,Not-Bullying
Celebrate the uniqueness in each of us.,Not-Bullying
Be the reason someone smiles today.,Not-Bullying
Sunny leone hot,Bullying
Sexual innuendos or stories,Bullying
"Lewd jokes, images, or videos",Bullying
Base or crass humor relating to sex,Bullying
Unwelcome sexual teasing or gestures,Bullying
"""Gag"" gifts such as sex toys and merchandise",Bullying
"Whistling, cat calls, kissing or smacking sounds",Bullying
Use of derogatory terms to describe sex,Bullying
Turning work discussions to sexual topics,Bullying
Spreading rumors about a person's sex life,Bullying
Unnecessary or unwelcome sexual references,Bullying
"Personal asides about sexual fantasies, preference, or history",Bullying
"Sexual comments about a person's clothing, anatomy, or looks",Bullying
"You look amazing in this photo!""",Bullying
"""Congratulations on your achievement! Well done!""",Not-Bullying 
"""Sending you lots of love and positive vibes ",Not-Bullying 
"""Your smile brightened my day. ",Not-Bullying 
"""I'm so proud of you and all that you've accomplished.""",Not-Bullying 
"Success is a journey, not a destination.",Not-Bullying 
"Beautiful bowdi,r osthir hot dance",Bullying 
"Dream big, achieve bigger.""",Not-Bullying 
"""Keep dreaming and keep doing.""",Not-Bullying 
"""Laughter is the best medicine.""",Not-Bullying 
"""Adventure is calling, will you answer?""",Not-Bullying 
"""Family and friends make life rich.""",Not-Bullying 
"""Kindness costs nothing.""",Not-Bullying 
"""Dessert before dinner is a must!""",Not-Bullying 
"""A good book can change your world.""",Not-Bullying 
"""Failure is a stepping stone to success.""",Not-Bullying 
"""Believe in yourself, always.""",Not-Bullying 
"""Success is a journey, not a destination.""",Not-Bullying 
"""Weekends are made for relaxation.""",Not-Bullying 
"""Surround yourself with positive vibes.""",Not-Bullying 
"""Traveling opens your mind.""",Not-Bullying 
"""Cheers to the weekend!""",Not-Bullying 
Motherfukcer,Bullying 
Wow boobs,Bullying 
Believe in the power of your dreams.,Not-Bullying
Strength lies in our differences.,Not-Bullying
A kind heart is a beautiful soul.,Not-Bullying
Appreciate the beauty of diversity.,Not-Bullying
Change starts with self-awareness.,Not-Bullying
"In every ending, there's a new beginning.",Not-Bullying
Celebrate the beauty of the present moment.,Not-Bullying
The beauty of a fresh start.,Not-Bullying
Every day is a chance to be better.,Not-Bullying
"In unity, we find strength.",Not-Bullying
Kindness has the power to heal.,Not-Bullying
England er sexism country ,Bullying 
Srilanka dewlia,Bullying 
"Embrace the beauty of change.""",Not-Bullying
Success is built on persistence.,Not-Bullying
Love and compassion make the world brighter.,Not-Bullying
Life is an adventure waiting to be explored.,Not-Bullying
Cherish the memories that warm your heart.,Not-Bullying
Each day is a blank canvas; paint it with joy.,Not-Bullying
Inspiration is all around us if we look closely.,Not-Bullying
"Feel free to use these comments in your tweets, and adapt them as needed to match your style or the context of your posts.",Not-Bullying
"""Your positivity is a ray of sunshine on even the stormiest days.""",Not-Bullying
"""You are a constant source of inspiration to those around you.""",Not-Bullying
Every dish you make is a culinary masterpiece. You're a fantastic chef!,Not-Bullying
Your cooking always leaves me craving for more. It's simply delicious!,Not-Bullying
You have a knack for turning simple ingredients into gourmet delights.,Not-Bullying
"Your creativity knows no bounds, and it's a joy to witness.""",Not-Bullying
"""You have the courage to pursue your dreams and make them a reality.""",Not-Bullying
Every dish you make is a culinary masterpiece. You're a fantastic chef!,Not-Bullying
Your cooking always leaves me craving for more. It's simply delicious!,Not-Bullying
You have a knack for turning simple ingredients into gourmet delights.,Not-Bullying
"Your creativity knows no bounds, and it's a joy to witness.""",Not-Bullying
"""You have the courage to pursue your dreams and make them a reality.""",Not-Bullying
"Your creativity knows no bounds, and I can't wait to see your project come to life.""",Not-Bullying
"You're making something incredible, and I'm here to support you every step of the way.",Not-Bullying
"Just another beautiful day to be grateful for.""",Not-Bullying
Every dish you make is a culinary masterpiece. You're a fantastic chef!,Not-Bullying
Your cooking always leaves me craving for more. It's simply delicious!,Not-Bullying
You have a knack for turning simple ingredients into gourmet delights.,Not-Bullying
"Your creativity knows no bounds, and it's a joy to witness.""",Not-Bullying
"""You have the courage to pursue your dreams and make them a reality.""",Not-Bullying
"Your creativity knows no bounds, and I can't wait to see your project come to life.""",Not-Bullying
"You're making something incredible, and I'm here to support you every step of the way.",Not-Bullying
you are a foolish ,Bullying 
"Every ending is a new beginning.""",Not-Bullying
Success is measured by personal growth.,Not-Bullying
Adventure is calling.,Not-Bullying
Life is an open book.,Not-Bullying
The beauty of a new day.,Not-Bullying
Kindness is contagious.,Not-Bullying
Celebrating the art of storytelling.,Not-Bullying
Finding beauty in imperfections.,Not-Bullying
The journey of self-discovery.,Not-Bullying
Empathy connects us all.,Not-Bullying
Inspiration is all around us.,Not-Bullying
Perseverance leads to success.,Bullying 
Unwelcome sexual advances.,Bullying 
Requests for sexual favors.,Bullying 
Other verbal or physical harassment of a sexual nature.,Bullying 
Actual or attempted rape or sexual assault.,Bullying 
Unwanted pressure for sexual favors.,Bullying 
"Unwanted deliberate touching, leaning over, cornering, or pinching.",Bullying 
Unwanted sexual looks or gestures.,Bullying 
"Unwanted letters, telephone calls, or materials of a sexual nature.",Bullying 
Unwanted pressure for dates.,Bullying 
Every dish you make is a culinary masterpiece. You're a fantastic chef!,Not-Bullying
Your cooking always leaves me craving for more. It's simply delicious!,Not-Bullying
You have a knack for turning simple ingredients into gourmet delights.,Not-Bullying
"Your creativity knows no bounds, and it's a joy to witness.""",Not-Bullying
"""You have the courage to pursue your dreams and make them a reality.""",Not-Bullying
"Your creativity knows no bounds, and I can't wait to see your project come to life.""",Not-Bullying
"You're making something incredible, and I'm here to support you every step of the way.",Not-Bullying
Unwanted sexual looks or gestures.,Bullying 
"Unwanted letters, telephone calls, or materials of a sexual nature.",Bullying 
Unwanted pressure for dates.,Bullying 
Every dish you make is a culinary masterpiece. You're a fantastic chef!,Not-Bullying
Your cooking always leaves me craving for more. It's simply delicious!,Not-Bullying
Friendship is a priceless gift.,Not-Bullying
Respect and kindness go hand in hand.,Not-Bullying
Dreams don't have deadlines.,Not-Bullying
The power of a sincere compliment.,Not-Bullying
Cherish the beauty of nature.,Not-Bullying
Striving for balance in life.,Not-Bullying
Every day is a chance to learn something new.,Not-Bullying
"Believe in yourself, always.",Not-Bullying
"Your resilience in the face of challenges is truly remarkable.""",Not-Bullying
"""Your determination is like a guiding star leading you to success.""",Not-Bullying
"""Your optimism is a powerful force that can overcome any adversity.""",Not-Bullying
"""You have a unique ability to bring people together and create a sense of unity.""",Not-Bullying
"""Your positivity is a ray of sunshine on even the stormiest days.""",Not-Bullying
"""You are a constant source of inspiration to those around you.""",Not-Bullying
"""Your creativity knows no bounds, and it's a joy to witness.""",Not-Bullying
"""You have the courage to pursue your dreams and make them a reality.""",Not-Bullying
"""Your passion for life is infectious, and it's impossible not to be drawn to it.""",Not-Bullying
"""You are a shining example of what it means to live a meaningful and fulfilling life.""",Not-Bullying
Unwanted sexual looks or gestures.,Bullying 
"Unwanted letters, telephone calls, or materials of a sexual nature.",Bullying 
Unwanted pressure for dates.,Bullying 
Every dish you make is a culinary masterpiece. You're a fantastic chef!,Not-Bullying
Your cooking always leaves me craving for more. It's simply delicious!,Not-Bullying
"Basking in the warmth of the sun.""",Not-Bullying
Seeking inspiration in the world around me.,Not-Bullying
Celebrating the beauty of diversity.,Not-Bullying
A smile can brighten anyone's day.,Not-Bullying
Love and kindness are never wasted.,Not-Bullying
Happiness is a choice we make.,Not-Bullying
The world is full of wonders.,Not-Bullying
In pursuit of dreams and aspirations.,Not-Bullying
"Building bridges, not walls.",Not-Bullying
"Your positive attitude is like a magnet for good things.""",Not-Bullying
"""Your presence has the power to uplift and energize everyone around you.""",Not-Bullying
"""You have a way of turning challenges into stepping stones towards success.""",Not-Bullying
"""Your determination is the fuel that propels you toward your goals.""",Not-Bullying
"""Your kindness and generosity have a ripple effect, making the world a better place.""",Not-Bullying
"""Your laughter is infectious and can turn any moment into a joyful one.""",Not-Bullying
"""You have the ability to see beauty in the smallest of things.""",Not-Bullying
"""Your inner strength is a beacon of hope during tough times.""",Not-Bullying
"""You are a constant source of inspiration, reminding us to reach for our dreams.""",Not-Bullying
"""Your zest for life is an inspiration for us all to live more fully.""",Not-Bullying
I hope these additional positive sentences bring even more warmth and inspiration to your day!,Not-Bullying
"Your determination and persistence make you unstoppable.""",Not-Bullying
"""Your words have the power to uplift and motivate others.""",Not-Bullying
"""You have a heart of gold, and it shines through in everything you do.""",Not-Bullying
"""Your positive outlook on life is contagious and spreads to those around you.""",Not-Bullying
"""You are a source of strength and support for those who know you.""",Not-Bullying
"""Your enthusiasm for life is truly infectious and inspiring.""",Not-Bullying
"""Your creativity knows no bounds, and it's a joy to witness your ideas come to life.""",Not-Bullying
"""Your kindness and compassion make the world a better place.""",Not-Bullying
"""You have a bright future ahead, filled with endless opportunities.""",Not-Bullying
"""Your resilience in the face of adversity is truly admirable.""",Not-Bullying
I hope these additional positive sentences continue to uplift and inspire you!,Not-Bullying
"Your determination and persistence make you unstoppable.""",Not-Bullying
"""Your words have the power to uplift and motivate others.""",Not-Bullying
"""You have a heart of gold, and it shines through in everything you do.""",Not-Bullying
"Life is too short for regrets.""",Not-Bullying
Savoring the flavors of life.,Not-Bullying
Finding strength in vulnerability.,Not-Bullying
"Success is a journey, not a destination.",Not-Bullying
Life's challenges make us stronger.,Not-Bullying
Creating memories that last a lifetime.,Not-Bullying
Treasure every moment with loved ones.,Not-Bullying
Authenticity is magnetic.,Not-Bullying
"Gosh, it’s been getting so hot. Hold on, let me take my clothes off…’",Bullying
 ‘Do you have any idea how bad I want you right now?’,Bullying
I don’t usually say this out loud but you’re just so sexy…’,Bullying
 ‘Do you think I have panties on right now ?’,Bullying
What are you doing after work? I need some of you ASAP!’,Bullying
‘Did you know that you smell good enough for me to practically devour you ?’,Bullying
‘Hungry for tonight?’,Bullying
"‘I can’t stop thinking about what you did to me last night, and how utterly good it made me feel.’",Bullying
 ‘I need your body next to me tonight. Get here soon!’,Bullying
"‘I can only think of one thing right now, and it’s you and me, together, on my bed.’",Bullying
"‘I can’t possibly imagine sharing you with anyone, for you’re so freaking hot!’",Bullying
Motherfukcer,Bullying 
Hope is a powerful motivator.,Not-Bullying
"Dream big, work hard, stay focused.",Not-Bullying
The power of a positive attitude.,Not-Bullying
Resilience in the face of adversity.,Not-Bullying
Small acts of kindness can change the world.,Not-Bullying
The best way to predict the future is to create it.,Not-Bullying
Every ending is a new beginning.,Not-Bullying
Success is measured by personal growth.,Not-Bullying
"Unwanted sexual teasing, jokes, remarks, or questions.",Bullying 
"Referring to an adult as a girl, hunk, doll, babe, or honey.",Bullying 
Whistling at someone.,Bullying 
Cat calls.,Bullying 
Sexual comments.,Bullying 
Turning work discussions to sexual topics.,Bullying 
Sexual innuendos or stories.,Bullying 
"Asking about sexual fantasies, preferences, or history.",Bullying 
Personal questions about social or sexual life.,Bullying 
"Sexual comments about a person's clothing, anatomy, or looks.",Bullying 
"Unwanted deliberate touching, leaning over, cornering, or pinching.",Bullying 
Unwanted sexual looks or gestures.,Bullying 
"Unwanted letters, telephone calls, or materials of a sexual nature.",Bullying 
Unwanted pressure for dates.,Bullying 
Every dish you make is a culinary masterpiece. You're a fantastic chef!,Not-Bullying
Your cooking always leaves me craving for more. It's simply delicious!,Not-Bullying
You have a knack for turning simple ingredients into gourmet delights.,Not-Bullying
"Your creativity knows no bounds, and it's a joy to witness.""",Not-Bullying
"""You have the courage to pursue your dreams and make them a reality.""",Not-Bullying
"Your creativity knows no bounds, and I can't wait to see your project come to life.""",Not-Bullying
"You're making something incredible, and I'm here to support you every step of the way.",Not-Bullying
Unwanted sexual looks or gestures.,Bullying 
"Unwanted letters, telephone calls, or materials of a sexual nature.",Bullying 
Unwanted pressure for dates.,Bullying 
Every dish you make is a culinary masterpiece. You're a fantastic chef!,Not-Bullying
Your cooking always leaves me craving for more. It's simply delicious!,Not-Bullying
Friendship is a priceless gift.,Not-Bullying
Respect and kindness go hand in hand.,Not-Bullying
Dreams don't have deadlines.,Not-Bullying
The power of a sincere compliment.,Not-Bullying
Cherish the beauty of nature.,Not-Bullying
Striving for balance in life.,Not-Bullying
Every day is a chance to learn something new.,Not-Bullying
"Believe in yourself, always.",Not-Bullying
"Your resilience in the face of challenges is truly remarkable.""",Not-Bullying
"""Your determination is like a guiding star leading you to success.""",Not-Bullying
"""Your optimism is a powerful force that can overcome any adversity.""",Not-Bullying
"""You have a unique ability to bring people together and create a sense of unity.""",Not-Bullying
"""Your positivity is a ray of sunshine on even the stormiest days.""",Not-Bullying
You have a unique and captivating style. I'm hooked!,Not-Bullying
The world needs more content like this. Thanks for making it.,Not-Bullying
"Kissing sounds, howling, and smacking lips.",Bullying 
Telling lies or spreading rumors about a person's personal sex life.,Bullying 
Neck massage.,Bullying 
"Touching an employee's clothing, hair, or body.",Bullying 
Giving personal gifts.,Bullying 
Hanging around a person.,Bullying 
"Hugging, kissing, patting, or stroking.",Bullying 
Motherfukcer,Bullying 
Hope is a powerful motivator.,Not-Bullying
"Dream big, work hard, stay focused.",Not-Bullying
The power of a positive attitude.,Not-Bullying
Resilience in the face of adversity.,Not-Bullying
Small acts of kindness can change the world.,Not-Bullying
The best way to predict the future is to create it.,Not-Bullying
Every ending is a new beginning.,Not-Bullying
Success is measured by personal growth.,Not-Bullying
"Unwanted sexual teasing, jokes, remarks, or questions.",Bullying 
"Referring to an adult as a girl, hunk, doll, babe, or honey.",Bullying 
Whistling at someone.,Bullying 
"As a Bangladeshi, I'm proud to see our country's beauty celebrated like this!",Not-Bullying
"""I'm hooked on your videos!""",Not-Bullying
"""This is pure gold.""",Not-Bullying
"""You've got that 'it' factor.""",Not-Bullying
"""You're a trendsetter.""",Not-Bullying
"""This is viral material.""",Not-Bullying
"""You're a TikTok genius!""",Not-Bullying
"""This is legendary!""",Not-Bullying
"""You're a trendsetter.""",Not-Bullying
"""You're making TikTok history.""",Not-Bullying
"""This is what TikTok dreams are made of.""",Not-Bullying
"""You're a TikTok prodigy.""",Not-Bullying
"""This is pure talent.""",Not-Bullying
"""You're the TikTok MVP!""",Not-Bullying
"""This is the content I signed up for.""",Not-Bullying
"""You're a TikTok icon.""",Not-Bullying
"""This video is unforgettable.""",Not-Bullying
"""You're a TikTok pioneer.""",Not-Bullying
Your storytelling is captivating. I feel like I'm right there in Bangladesh with you.,Not-Bullying
Thanks for sharing the flavors of Bangladesh through your cooking videos.,Not-Bullying
"Bangladesh's nature is breathtaking, and your videos captureThis reminds me of my trip to Bangladesh. Such a wonderful place.",Not-Bullying
"it perfectly.""",Not-Bullying
Life is an open book.,Not-Bullying
The beauty of a new day.,Not-Bullying
Kindness is contagious.,Not-Bullying
Celebrating the art of storytelling.,Not-Bullying
Finding beauty in imperfections.,Not-Bullying
The journey of self-discovery.,Not-Bullying
Empathy connects us all.,Not-Bullying
Inspiration is all around us.,Not-Bullying
Perseverance leads to success.,Bullying 
Unwelcome sexual advances.,Bullying 
Every dish you make is a culinary masterpiece. You're a fantastic chef!,Not-Bullying
Your cooking always leaves me craving for more. It's simply delicious!,Not-Bullying
You have a knack for turning simple ingredients into gourmet delights.,Not-Bullying
"Your creativity knows no bounds, and it's a joy to witness.""",Not-Bullying
"""You have the courage to pursue your dreams and make them a reality.""",Not-Bullying
"Your creativity knows no bounds, and I can't wait to see your project come to life.""",Not-Bullying
"You're making something incredible, and I'm here to support you every step of the way.",Not-Bullying
"Just another beautiful day to be grateful for.""",Not-Bullying
Every dish you make is a culinary masterpiece. You're a fantastic chef!,Not-Bullying
Your cooking always leaves me craving for more. It's simply delicious!,Not-Bullying
You have a knack for turning simple ingredients into gourmet delights.,Not-Bullying
"Your creativity knows no bounds, and it's a joy to witness.""",Not-Bullying
"""You have the courage to pursue your dreams and make them a reality.""",Not-Bullying
"Your creativity knows no bounds, and I can't wait to see your project come to life.""",Not-Bullying
"You're making something incredible, and I'm here to support you every step of the way.",Not-Bullying
you are a foolish ,Bullying 
you are a luicha,Bullying
You're a natural model.,Not-Bullying
This deserves to go viral!,Not-Bullying
You're a sunshine on my feed!,Not-Bullying
"Your creativity knows no bounds, and it's a joy to witness.""",Not-Bullying
"Wow, stunning photo!""",
You're a true artist with that camera!,Not-Bullying
This pic is ,Not-Bullying
Your feed is goals!,Not-Bullying
I can't get enough of your posts!,Not-Bullying
Beautiful shot! ,Not-Bullying
You always find the best spots!,Not-Bullying
Your style is on point!,Not-Bullying
You're a natural model.,Not-Bullying
This deserves to go viral!,Not-Bullying
You're a sunshine on my feed!,Not-Bullying
I'm so inspired by your photos.,Not-Bullying
This shot is perfection.,Not-Bullying
Your smile brightened my day!,Not-Bullying
Captivating!,Not-Bullying
Touching or rubbing oneself sexually around another person.,Bullying 
Standing close or brushing up against a person.,Bullying 
Looking a person up and down (elevator eyes).,Bullying 
Staring at someone.,Bullying 
Sexually suggestive signals.,Bullying 
"Facial expressions, winking, throwing kisses, or licking lips.",Bullying 
Making sexual gestures with hands or through body movements,Bullying 
my life has come to a standstill and at this point.,Not-Bullying
 I'm all for reparations to anyone that wants them of any race.   ,Not-Bullying
tor kopale juta,Bullying
girl this nigga make me sick to my stomach,Bullying
Girls belly are so cute,Bullying 
I love u,Not-Bullying 
Wow this road is so beautiful ,Not-Bullying 
Bangladesh is a dangerous country ,Bullying 
Indian people are dirty mind,Bullying 
you are a good boy lol guys,Bullying 
What a beautiful flower ,Not-Bullying 
Body are so hot,Bullying 
Such a creative perspective!,Not-Bullying
Keep these amazing photos coming!,Not-Bullying
You're a true talent!,Not-Bullying
This deserves more likes!,Not-Bullying
Your posts always make me smile!,Not-Bullying
You have an eye for beauty.,Not-Bullying
I'm in awe of your photography skills.,Not-Bullying
This is InstagramIncredible composition.,Not-Bullying
"gold!""",Not-Bullying
Pure magic in this photo.,Not-Bullying
You're a legend on Instagram!,Not-Bullying
You make the world look better.,Not-Bullying
I can't stop scrolling through your feed.,Not-Bullying
Absolutely breathtaking.,Not-Bullying
Your photos tell a story.,Not-Bullying
You're a natural beauty.,Not-Bullying
This deserves a double-tap!,Not-Bullying
I'm loving the vibes of this pic.,Not-Bullying
You're a true gem.,Not-Bullying
Your style is iconic.,Not-Bullying
can still taste you on my lips.,Bullying 
I want you to come all over my face.,Bullying 
I want you to make me scream.,Bullying 
You were made to be inside me.,Bullying 
I love the way you fill me up.,Bullying 
No one makes me as horny as you do.,Bullying 
I want you inside me forever.,Bullying 
Fuck me like you own me.,Bullying 
"You're sexy, but you're gonna have to work for this.",Bullying 
"Your happiness is the most important thing to me. That and your naked body.""",Bullying 
"""I crave your body, it's my drug.""",Bullying 
"""I want to capture this moment and live it forever!""",Bullying 
"""The feeling of you is the only thing I can think about for days after we make love.""",Bullying 
"""I need your body in my hands.""",Bullying 
"""The feeling of you is so addictive.""",Bullying 
"You're mine, every single sexy part of you.",Bullying 
"This is so creative!""",Not-Bullying
"""You've got some serious talent!""",Not-Bullying
"""Wow, you nailed it!""",Not-Bullying
"""I can't stop watching this.""",Not-Bullying
"""You're a TikTok superstar!""",Not-Bullying
"""This made my day!""",Not-Bullying
"""Bravo! Encore!""",Not-Bullying
"""You're on fire!""",Not-Bullying
"""This deserves to go viral!""",Not-Bullying
"""You're a natural entertainer.""",Not-Bullying
"""I'm in awe of your skills!""",Not-Bullying
"""You're hilarious!""",Not-Bullying
"""You just won TikTok!""",Not-Bullying
"This is so relatable!""",Not-Bullying
"""You're a breath of fresh air on my feed.""",Not-Bullying
"""I can't get enough of your content.""",Not-Bullying
"""You make TikTok better.""",Not-Bullying
"""You're the king/queen of TikTok!""",Not-Bullying
"""You're a true TikTok legend.""",Not-Bullying
"""This is a masterpiece.""",Not-Bullying
"""You're a content wizard.""",Not-Bullying
"""You're crushing it!""",Not-Bullying
"""I aspire to be as creative as you.""",Not-Bullying
"""This is iconic!""",Not-Bullying
"""You're a TikTok sensation.""",Not-Bullying
"""This deserves all the applause.""",Not-Bullying
"""You're a true entertainer.""",Not-Bullying
You have never studied the barbarity of the Muslims during,Bullying 
IsraeliRegime So don't feed me your little piece of taqiyya BS,Bullying 
Islam is corrupt from the beginning.,Bullying 
Do you like it when I touch you there?”,Bullying 
"""Do you like it when I kiss you like this?”",Bullying 
"""Does it feel good when I stroke you here/like this?",Bullying 
alking dirty on the phone is a fantastic way,Bullying 
your relationship revolves around sex and dirty talk.,Bullying 
"I love it when you kiss my neck.""",Bullying 
"""I love it when you touch my thighs.""",Bullying 
"""I love it when you lick my ears.""",Bullying 
"""I love it when you stroke my back",Bullying 
"I love it when you kiss my neck.""",Bullying 
You look so sexy right now,Bullying 
"This is what Instagram was made for.""",Not-Bullying
You've got that wow factor!,Not-Bullying
Bringing the beauty to my feed.,Not-Bullying
Every photo is a masterpiece.,Not-Bullying
You're the definition of cool.,Not-Bullying
You make life look like a dream.,Not-Bullying
Your posts are a work of art.,Not-Bullying
Your feed is a visual feast!,Not-Bullying
You're my Instagram inspiration.,Not-Bullying
This shot is a game-changer.,Not-Bullying
Can't get enough of your content!,Not-Bullying
Your photos speak to my soul.,Not-Bullying
This is postcard-worthy!,Not-Bullying
You're a social media superstar.,Not-Bullying
England fuck,Bullying 
Horny ,Bullying 
Sucks you,Bullying 
"This is why TikTok exists.""",Not-Bullying
"""You're a viral sensation.""",Not-Bullying
"""This is TikTok perfection.""",Not-Bullying
"""You're the TikTok GOAT!""",Not-Bullying
"""This video is a game-changer.""",Not-Bullying
"""You're a TikTok superstar!""",Not-Bullying
"""This is TikTok gold.""",Not-Bullying
"""You're a true influencer.""",Not-Bullying
"""This deserves all the likes.""",Not-Bullying
"""You're a TikTok legend in the making.""",Not-Bullying
"""This is pure entertainment.""",Not-Bullying
"""You're a TikTok mastermind!""",Not-Bullying
"""This video is a work of art.""",Not-Bullying
"""You're a TikTok sensation.""",Not-Bullying
"""This is TikTok royalty.""",Not-Bullying
"""You're a content wizard.""",Not-Bullying
"""This is mind-blowing!""",Not-Bullying
"""You're a TikTok maverick",Not-Bullying
Hindu are killed israil,Bullying 
I want your ass in my bed,Bullying 
You have never studied the barbarity of the Muslims during,Bullying 
IsraeliRegime So don't feed me your little piece of taqiyya BS,Bullying 
Islam is corrupt from the beginning.,Bullying 
"This is what Instagram was made for.""",Not-Bullying
You've got that wow factor!,Not-Bullying
Bringing the beauty to my feed.,Not-Bullying
Every photo is a masterpiece.,Not-Bullying
You're the definition of cool.,Not-Bullying
You make life look like a dream.,Not-Bullying
Your posts are a work of art.,Not-Bullying
Your feed is a visual feast!,Not-Bullying
You're my Instagram inspiration.,Not-Bullying
This shot is a game-changer.,Not-Bullying
Can't get enough of your content!,Not-Bullying
Your photos speak to my soul.,Not-Bullying
This is postcard-worthy!,Not-Bullying
You're a social media superstar.,Not-Bullying
Fuck suck ,Bullying 
Rapist ,Bullying 
England fuck,Bullying 
Horny ,Bullying 
Sucks you,Bullying 
"This deserves to go viral!""",Not-Bullying
You're a true influencer.,Not-Bullying
Your style is unmatched.,Not-Bullying
This shot is pure magic.,Not-Bullying
You're taking Instagram by storm.,Not-Bullying
Your feed is a work of art.,Not-Bullying
This is Insta-gold!,Not-Bullying
You're a master of your craft.,Not-Bullying
Your content is always on point.,Not-Bullying
This is Instagram royalty.,Not-Bullying
You're a trendsetter.,Not-Bullying
You've got the golden touch.,Not-Bullying
This shot is a masterpiece.,Not-Bullying
You're a social media legend.,Not-Bullying
Your posts are a visual delight.,Not-Bullying
This is Instagram at its finest.,Not-Bullying
You're making the gram a better place.,Not-Bullying
Your photos leave me speechless,Not-Bullying
cock  suck before you piss around on my work,Bullying 
fuck your filthy mother in the ass  dry,Bullying 
 you cant put down get fuck up get fuck  ,Bullying 
stupid peace of  shit  stop deleting my,Bullying 
you are a stupid,Bullying 
kill all  nigger,Bullying 
he is in for a blrude awakening  leviathan mother  fuck  er,Bullying 
fuck off  you are,Bullying 
i never fuck  ing made this mother fuck,Bullying 
Fucking u,Bullying 
"Your posts are fire!""",Not-Bullying
You're rocking the gram!,Not-Bullying
This is legendary stuff!,Not-Bullying
You're a true influencer.,Not-Bullying
Your aesthetic is always on point.,Not-Bullying
This is Insta-perfection!,Not-Bullying
You light up my feed!,Not-Bullying
A true Insta-icon.,Not-Bullying
Your pics are always lit!,Not-Bullying
